subject,relation,object,subject_type,object_type
Gastro intestinal symptoms,include,nausea,NOUN_CHUNK,NOUN_CHUNK
rare E.C.G. changes,include,deformity,NOUN_CHUNK,NOUN_CHUNK
emetine,produces,dramatic clinical response thanchloroquine,NOUN_CHUNK,NOUN_CHUNK
total dose,exceed,650 mg or,NOUN_CHUNK,QUANTITY
relapse rate,follows,course,NOUN_CHUNK,NOUN_CHUNK
total daily dose,exceed,90 mg,NOUN_CHUNK,QUANTITY
John,used,quinine hydrochloride,PERSON,NOUN_CHUNK
G. tablet,contains,chloroquine diphosphate,NOUN_CHUNK,NOUN_CHUNK
repetition,induce,dramatic response,NOUN_CHUNK,NOUN_CHUNK
single oral dose,produced,dramatic response,NOUN_CHUNK,NOUN_CHUNK
nitroimidazole compound,shown,marked therapeutic response,NOUN_CHUNK,NOUN_CHUNK
Occasional effects,include,nausea,NOUN_CHUNK,NOUN_CHUNK
use,provided,important information,NOUN_CHUNK,NOUN_CHUNK
perianal space,surrounds,anal canal,NOUN_CHUNK,NOUN_CHUNK
suppuration,formed,external anal sphincter,NOUN_CHUNK,NOUN_CHUNK
Supralevator,abscess,forms,NOUN_CHUNK,NOUN_CHUNK
signs,include,constipation,NOUN_CHUNK,NOUN_CHUNK
method,involves,use,NOUN_CHUNK,NOUN_CHUNK
patients,have,form,NOUN_CHUNK,NOUN_CHUNK
people,associated with,lumps,NOUN_CHUNK,NOUN_CHUNK
tuberculosis,acquired,immunodeficiency syndrome,NOUN_CHUNK,NOUN_CHUNK
sexually transmitted infections,promote,breakdown,NOUN_CHUNK,NOUN_CHUNK
prompt treatment,reduce,anal strain,NOUN_CHUNK,NOUN_CHUNK
measures,include,warm sitz baths,NOUN_CHUNK,NOUN_CHUNK
Combination,offer,98 % cure rates,NOUN_CHUNK,NOUN_CHUNK
Surgical operations,involve,general regional anaesthetia,NOUN_CHUNK,NOUN_CHUNK
anal stretching,increase,rate,NOUN_CHUNK,NOUN_CHUNK
treatment option,carry,risk,NOUN_CHUNK,NOUN_CHUNK
Additional ligation,improve,outcome,NOUN_CHUNK,NOUN_CHUNK
clinical data,demonstrate,success rate,NOUN_CHUNK,NOUN_CHUNK
literature review,showed,incidence,NOUN_CHUNK,NOUN_CHUNK
Causes,include,trauma,NOUN_CHUNK,NOUN_CHUNK
Causes,include,iron deficiency,NOUN_CHUNK,NOUN_CHUNK
Causes,include,genetic conditions,NOUN_CHUNK,NOUN_CHUNK
Iron deficiency anemia,affects,nearly 1 billion people,NOUN_CHUNK,NOUN_CHUNK
Aplastic anemia,affects,kinds,NOUN_CHUNK,NOUN_CHUNK
Lack,causes,non - pernicious megaloblastic anemia,NOUN_CHUNK,NOUN_CHUNK
Anemia,causes,megaloblastic anemia,NOUN_CHUNK,NOUN_CHUNK
Intrinsic intracorpuscular abnormalities,cause,premature destruction,NOUN_CHUNK,NOUN_CHUNK
Hemoglobinopathies,causing,unstable hemoglobins,NOUN_CHUNK,NOUN_CHUNK
Trauma,causing,acute blood loss,NOUN_CHUNK,NOUN_CHUNK
acute bleeds,Gastrointestinal tract lesions,chronic blood loss,NOUN_CHUNK,NOUN_CHUNK
type,cause,acute chronic blood loss,NOUN_CHUNK,NOUN_CHUNK
word anemia,implies,widespread effects,NOUN_CHUNK,NOUN_CHUNK
ischemia,cause,localized anemic effects,NOUN_CHUNK,NOUN_CHUNK
Certain gastrointestinal disorders,cause,anemia,NOUN_CHUNK,NOUN_CHUNK
Helicobacter,pylori,infection,NOUN_CHUNK,NOUN_CHUNK
reviews,provide,comparison,NOUN_CHUNK,NOUN_CHUNK
counters,estimate,hematocrit,NOUN_CHUNK,NOUN_CHUNK
kinetic approach,yields,arguably clinically relevant classification,NOUN_CHUNK,NOUN_CHUNK
RBCs,appear,hypochromic,NOUN_CHUNK,NOUN_CHUNK
Alcoholism,causes,macrocytosis,NOUN_CHUNK,NOUN_CHUNK
types,cause,macrocytosis,NOUN_CHUNK,NOUN_CHUNK
Drugs,inhibit,DNA replication,NOUN_CHUNK,NOUN_CHUNK
features,include,smooth red tongue,NOUN_CHUNK,NOUN_CHUNK
three,shared,the 1934 Nobel Prize,CARDINAL,WORK_OF_ART
person,have,pale,NOUN_CHUNK,NOUN_CHUNK
person,have,dimorphic smear,NOUN_CHUNK,NOUN_CHUNK
Heinz body anemia,has,causes,NOUN_CHUNK,NOUN_CHUNK
people,develop,state,NOUN_CHUNK,NOUN_CHUNK
Concerns,include,iron overload,NOUN_CHUNK,NOUN_CHUNK
iron overload,require,chelation therapy,NOUN_CHUNK,NOUN_CHUNK
Vitamin supplements,replace,specific deficiencies,NOUN_CHUNK,NOUN_CHUNK
diagnosis,mandates,search,NOUN_CHUNK,NOUN_CHUNK
body,absorb,6 mg iron,NOUN_CHUNK,NOUN_CHUNK
Transfusing,improve,survival,NOUN_CHUNK,NOUN_CHUNK
moderate degree,affected,approximately 610 million people,NOUN_CHUNK,NOUN_CHUNK
Mild iron deficiency anemia,affects,another 375 million,NOUN_CHUNK,CARDINAL
causes,include,anemia,NOUN_CHUNK,NOUN_CHUNK
recent data,considered,attitude,NOUN_CHUNK,NOUN_CHUNK
Major risk factors,include,cigarette smoking,NOUN_CHUNK,NOUN_CHUNK
Valvular heart diseaseMyocardial ischemia,result,from:.a reduction,NOUN_CHUNK,NOUN_CHUNK
Antacids,relieve,pain,NOUN_CHUNK,NOUN_CHUNK
combination,given,drop,NOUN_CHUNK,NOUN_CHUNK
Low dose aspirin,decreases,risk,NOUN_CHUNK,NOUN_CHUNK
evidence,support,use,NOUN_CHUNK,NOUN_CHUNK
diagnosis,require,catheterization,NOUN_CHUNK,NOUN_CHUNK
New techniques,include,positron emission tomography,NOUN_CHUNK,NOUN_CHUNK
Women,have,traditional risk factors,NOUN_CHUNK,NOUN_CHUNK
approaches,include,spinal cord stimulators,NOUN_CHUNK,NOUN_CHUNK
line options,include,antifibrinolytics tranexamic acid,NOUN_CHUNK,NOUN_CHUNK
Estrogens,cause,mild hypercoaguability,NOUN_CHUNK,NOUN_CHUNK
failure,attempted,defaecation,NOUN_CHUNK,NOUN_CHUNK
relevant anatomy,includes,rectum,NOUN_CHUNK,NOUN_CHUNK
internal anal sphincter,forms,walls,NOUN_CHUNK,NOUN_CHUNK
angle,prevents,movement,NOUN_CHUNK,NOUN_CHUNK
techniques,include,manometry,NOUN_CHUNK,NOUN_CHUNK
Treatments,include,retraining,NOUN_CHUNK,NOUN_CHUNK
Non - particulate antacids,increase,gastric,NOUN_CHUNK,NOUN_CHUNK
Effervescent antacids,contain,aspirin,NOUN_CHUNK,NOUN_CHUNK
Brand names,include,Alu-Cap,NOUN_CHUNK,PERSON
Non - particulate antacids,increase,gastric,NOUN_CHUNK,NOUN_CHUNK
Effervescent antacids,contain,aspirin,NOUN_CHUNK,NOUN_CHUNK
Brand names,include,Alu-Cap,NOUN_CHUNK,PERSON
Common effects,include,dry mouth,NOUN_CHUNK,NOUN_CHUNK
Options,include,pharmacotherapy,NOUN_CHUNK,NOUN_CHUNK
Antidepressants,provide,modest moderate reduction,NOUN_CHUNK,NOUN_CHUNK
TCAs antidepressants,shown,efficacy,NOUN_CHUNK,NOUN_CHUNK
Clinical trials,generated,negative results,NOUN_CHUNK,NOUN_CHUNK
tests,include,use,NOUN_CHUNK,NOUN_CHUNK
effects,continue,course,NOUN_CHUNK,NOUN_CHUNK
person,experience,headache,NOUN_CHUNK,NOUN_CHUNK
study,found,increase,NOUN_CHUNK,NOUN_CHUNK
neonate,experience,withdrawal syndrome,NOUN_CHUNK,NOUN_CHUNK
The National Institute for Health and Care Excellence,places,excess risk,ORG,NOUN_CHUNK
Antidepressant treatment,has,protective effect,NOUN_CHUNK,NOUN_CHUNK
overall sexual dysfunction,averaged,59.1%,NOUN_CHUNK,PERCENT
Moclobemide,cause,sexual dysfunction,NOUN_CHUNK,NOUN_CHUNK
symptoms,include,flu like symptoms,NOUN_CHUNK,NOUN_CHUNK
lithium,decreases,suicide risk,NOUN_CHUNK,NOUN_CHUNK
Irving Selikoff,began,clinical trials,PERSON,NOUN_CHUNK
Selikoff,noted,subtle general stimulation,ORG,NOUN_CHUNK
", Delay",reported,positive effect,PERSON,NOUN_CHUNK
Jackson Smith,described,psychiatric applications,PERSON,NOUN_CHUNK
Roche,put,significant marketing effort,ORG,NOUN_CHUNK
about 16.5%,took,antidepressants,PERCENT,NOUN_CHUNK
cross - cultural discrepancies,have,implications,NOUN_CHUNK,NOUN_CHUNK
presence,caused,concern,NOUN_CHUNK,NOUN_CHUNK
Histamine,promotes,angiogenesis,ORG,NOUN_CHUNK
H1-antihistamines,reduce,inflammation,NOUN_CHUNK,NOUN_CHUNK
common antihistamines,include,hydroxyzine,NOUN_CHUNK,NOUN_CHUNK
Second generation antihistamines,cross,blood,NOUN_CHUNK,NOUN_CHUNK
Characteristic symptoms,include,yellow discoloration,NOUN_CHUNK,NOUN_CHUNK
Reynolds pentad,includes,findings,NOUN_CHUNK,NOUN_CHUNK
combination,indicates,worsening,NOUN_CHUNK,NOUN_CHUNK
bile,reaches,duodenum,NOUN_CHUNK,NOUN_CHUNK
constitution,has,protective role,NOUN_CHUNK,NOUN_CHUNK
increased biliary pressure,decreases,production,NOUN_CHUNK,NOUN_CHUNK
Routine blood tests,show,features,NOUN_CHUNK,NOUN_CHUNK
Enterococcus,causes,10–20%,ORG,PERCENT
Cholangitis,requires,admission,NOUN_CHUNK,NOUN_CHUNK
Acute cholangitis,carries,significant risk,NOUN_CHUNK,NOUN_CHUNK
causes,include,heart failure,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,right lower abdominal pain,NOUN_CHUNK,NOUN_CHUNK
approximately 40%,have,typical symptoms,PERCENT,NOUN_CHUNK
Severe complications,include,widespread painful inflammation,NOUN_CHUNK,NOUN_CHUNK
Inflamed lymphoid tissue,cause,blockage,NOUN_CHUNK,NOUN_CHUNK
Surgery,decreases,risk,NOUN_CHUNK,NOUN_CHUNK
presentation,includes,abdominal pain,NOUN_CHUNK,NOUN_CHUNK
Studies,implicated,transition,NOUN_CHUNK,NOUN_CHUNK
studies,offer,evidence,NOUN_CHUNK,NOUN_CHUNK
Atypical histories,require,imaging,NOUN_CHUNK,NOUN_CHUNK
examiner,performs,firm swish,NOUN_CHUNK,NOUN_CHUNK
examiner,holds,person ankle,NOUN_CHUNK,NOUN_CHUNK
70–90 percent,have,elevated white blood cell,NOUN_CHUNK,NOUN_CHUNK
CT scan,has,sensitivity,NOUN_CHUNK,NOUN_CHUNK
Ultrasonography,had,overall sensitivity,ORG,NOUN_CHUNK
ultrasonography,reveal,abnormalities,NOUN_CHUNK,NOUN_CHUNK
abdominal pain,typhlitis in,new onset Crohn disease,NOUN_CHUNK,NOUN_CHUNK
Laparoscopic appendectomy,has,advantages,NOUN_CHUNK,NOUN_CHUNK
Laparoscopic appendectomy,has,advantages,NOUN_CHUNK,NOUN_CHUNK
appendectomy,require,diet changes,NOUN_CHUNK,NOUN_CHUNK
recovery,takes,three weeks,NOUN_CHUNK,DATE
prompt diagnosis,yield,best results,NOUN_CHUNK,NOUN_CHUNK
Medical management,treats,condition,NOUN_CHUNK,NOUN_CHUNK
Stump appendicitis,occur,months to years,NOUN_CHUNK,DATE
Signs,include,fever,NOUN_CHUNK,NOUN_CHUNK
Complications,include,lung abscess,NOUN_CHUNK,NOUN_CHUNK
Risk factors,include,decreased level,NOUN_CHUNK,NOUN_CHUNK
person,have,insidious course,NOUN_CHUNK,NOUN_CHUNK
Anatomical changes,disrupt,swallow mechanism,NOUN_CHUNK,NOUN_CHUNK
Hispanics,have,lower risk,NOUN_CHUNK,NOUN_CHUNK
Common aerobic bacteria,involved,include:.Streptococcus pneumoniae,NOUN_CHUNK,NOUN_CHUNK
Klebsiella,play,key role,PERSON,NOUN_CHUNK
patients,have,sudden arterial hypoxemia,NOUN_CHUNK,NOUN_CHUNK
Clinical symptoms,increase,suspicion,NOUN_CHUNK,NOUN_CHUNK
inflammation,cause,similar findings,NOUN_CHUNK,NOUN_CHUNK
administration,causes,suppression,NOUN_CHUNK,NOUN_CHUNK
stomach particles,enter,lungs,NOUN_CHUNK,NOUN_CHUNK
Currently recommended antibiotics,include,clindamycin,NOUN_CHUNK,NOUN_CHUNK
patient individual vigor,impact,development,NOUN_CHUNK,NOUN_CHUNK
Aging,increases,risk,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,episodes,NOUN_CHUNK,NOUN_CHUNK
Environmental factors,include,exposure,NOUN_CHUNK,NOUN_CHUNK
potential triggers,include,medications,NOUN_CHUNK,NOUN_CHUNK
358 million people,had,asthma,NOUN_CHUNK,NOUN_CHUNK
medications,increase,risk,NOUN_CHUNK,NOUN_CHUNK
majority,support,causal role,NOUN_CHUNK,NOUN_CHUNK
Common indoor allergens,include,dust mites,NOUN_CHUNK,NOUN_CHUNK
Certain viral respiratory infections,increase,risk,NOUN_CHUNK,NOUN_CHUNK
Certain infections,decrease,risk,NOUN_CHUNK,NOUN_CHUNK
affluent individuals,is,exposure,NOUN_CHUNK,NOUN_CHUNK
genetic variants,cause,asthma,NOUN_CHUNK,NOUN_CHUNK
